"224.9865 , 136.986 , 161.976","196.9875 , 87.975 , 122.9865","176.9955 , 96.9765 , 121.074","156.978 , 28.9935 , 83.997","124.9755 , 61.9905 , 78.999","125.9955 , 11.985 , 69.9975","82.977 , 37.995 , 60.996","178.9845 , 138.975 , 183.9825","143.9985 , 90.984 , 168.9885","139.995 , 95.982 , 146.982","100.98 , 43.9875 , 124.9755","93.993 , 66.9885 , 99.9855","67.983 , 15.9885 , 89.9895","51.9945 , 31.977 , 59.976","151.98 , 150.9855 , 192.984","113.985 , 113.985 , 201.9855","113.985 , 107.9925 , 146.982","57.987 , 49.98 , 158.9925","78.999 , 72.981 , 108.987","38.9895 , 29.988 , 110.976","23.9955 , 22.9755 , 57.987","134.997 , 162.996 , 201.9855","66.9885 , 122.9865 , 196.9875","95.982 , 122.9865 , 167.994","12.9795 , 79.9935 , 162.996","63.9795 , 89.9895 , 122.9865","2.9835 , 44.982 , 136.986","3.978 , 32.997 , 64.9995","115.9995 , 183.9825 , 195.993","51 , 148.9965 , 183.9825","88.995 , 145.9875 , 162.996","2.9835 , 82.977 , 154.989","47.991 , 40.9785 , 116.994","3.978 , 64.9995 , 111.996","9.996 , 56.9925 , 76.9845","141.984 , 207.978 , 193.9785","65.994 , 167.994 , 154.989","104.9835 , 168.9885 , 153","8.976 , 110.976 , 121.992","54.978 , 116.994 , 103.989","3.978 , 78.999 , 73.9755","10.9905 , 59.976 , 56.9925","163.9905 , 226.9755 , 172.992","95.982 , 193.9785 , 110.976","131.988 , 179.979 , 127.9845","64.9995 , 161.976 , 68.9775","72.981 , 127.9845 , 85.986","32.997 , 116.994 , 39.984","22.9755 , 61.9905 , 31.977","216.9795 , 226.9755 , 106.998","197.982 , 221.9775 , 36.975","174.981 , 190.995 , 90.984","170.9775 , 201.9855 , 1.989","132.9825 , 147.9765 , 42.993","117.9885 , 142.9785 , 0.9945","68.9775 , 85.986 , 7.9815","251.991 , 236.997 , 119.9775","252.9855 , 221.9775 , 42.993","211.9815 , 190.995 , 81.9825","244.9785 , 208.998 , 0.9945","175.9755 , 151.98 , 45.9765","170.9775 , 143.9985 , 2.9835","104.9835 , 90.984 , 20.9865","250.9965 , 200.991 , 141.984","251.991 , 166.9995 , 40.9785","228.99 , 154.989 , 91.9785","255 , 143.9985 , 0","174.981 , 120.9975 , 60.996","172.992 , 100.98 , 1.989","118.983 , 69.9975 , 11.985","250.9965 , 175.9755 , 153","251.991 , 112.9905 , 46.9965","230.979 , 126.99 , 114.9795","232.9935 , 52.989 , 6.987","162.996 , 87.975 , 57.987","165.9795 , 26.979 , 1.989","120.9975 , 41.9985 , 24.99","246.993 , 153.9945 , 161.976","226.9755 , 97.9965 , 100.98","210.987 , 121.992 , 125.9955","218.994 , 11.985 , 39.984","150.9855 , 72.981 , 75.99","155.9835 , 8.976 , 26.979","89.9895 , 29.988 , 31.977","1.989 , 3.978 , 0.9945","41.9985 , 48.9855 , 40.9785","89.9895 , 95.982 , 81.9825","93.993 , 99.9855 , 85.986","126.99 , 130.9935 , 116.994","157.998 , 161.976 , 147.9765","180.999 , 186.9915 , 172.992","216.9795 , 218.994 , 205.989","246.993 , 247.9875 , 241.995"
92,184,275,365,454,542,629,715,800,884,967,1049,1130,1210,1289,1367,1444,1520,1595,1669,1742,1814,1885,1955,2024,2092,2159,2225,2290,2354,2417,2479,2540,2600,2659,2717,2774,2830,2885,2939,2992,3044,3095,3145,3194,3242,3289,3335,3380,3424,3467,3509,3550,3590,3629,3667,3704,3740,3775,3809,3842,3874,3905,3935,3964,3992,4019,4045,4070,4094,4117,4139,4160,4180,4199,4217,4234,4250,4265,4279,4292,4304,4315,4325,4334,4342,4349,4355,4360,4364,4367,4369,4370
91,183,274,364,453,541,628,714,799,883,966,1048,1129,1209,1288,1366,1443,1519,1594,1668,1741,1813,1884,1954,2023,2091,2158,2224,2289,2353,2416,2478,2539,2599,2658,2716,2773,2829,2884,2938,2991,3043,3094,3144,3193,3241,3288,3334,3379,3423,3466,3508,3549,3589,3628,3666,3703,3739,3774,3808,3841,3873,3904,3934,3963,3991,4018,4044,4069,4093,4116,4138,4159,4179,4198,4216,4233,4249,4264,4278,4291,4303,4314,4324,4333,4341,4348,4354,4359,4363,4366,4368,NA
90,182,273,363,452,540,627,713,798,882,965,1047,1128,1208,1287,1365,1442,1518,1593,1667,1740,1812,1883,1953,2022,2090,2157,2223,2288,2352,2415,2477,2538,2598,2657,2715,2772,2828,2883,2937,2990,3042,3093,3143,3192,3240,3287,3333,3378,3422,3465,3507,3548,3588,3627,3665,3702,3738,3773,3807,3840,3872,3903,3933,3962,3990,4017,4043,4068,4092,4115,4137,4158,4178,4197,4215,4232,4248,4263,4277,4290,4302,4313,4323,4332,4340,4347,4353,4358,4362,4365,NA,NA
89,181,272,362,451,539,626,712,797,881,964,1046,1127,1207,1286,1364,1441,1517,1592,1666,1739,1811,1882,1952,2021,2089,2156,2222,2287,2351,2414,2476,2537,2597,2656,2714,2771,2827,2882,2936,2989,3041,3092,3142,3191,3239,3286,3332,3377,3421,3464,3506,3547,3587,3626,3664,3701,3737,3772,3806,3839,3871,3902,3932,3961,3989,4016,4042,4067,4091,4114,4136,4157,4177,4196,4214,4231,4247,4262,4276,4289,4301,4312,4322,4331,4339,4346,4352,4357,4361,NA,NA,NA
88,180,271,361,450,538,625,711,796,880,963,1045,1126,1206,1285,1363,1440,1516,1591,1665,1738,1810,1881,1951,2020,2088,2155,2221,2286,2350,2413,2475,2536,2596,2655,2713,2770,2826,2881,2935,2988,3040,3091,3141,3190,3238,3285,3331,3376,3420,3463,3505,3546,3586,3625,3663,3700,3736,3771,3805,3838,3870,3901,3931,3960,3988,4015,4041,4066,4090,4113,4135,4156,4176,4195,4213,4230,4246,4261,4275,4288,4300,4311,4321,4330,4338,4345,4351,4356,NA,NA,NA,NA
87,179,270,360,449,537,624,710,795,879,962,1044,1125,1205,1284,1362,1439,1515,1590,1664,1737,1809,1880,1950,2019,2087,2154,2220,2285,2349,2412,2474,2535,2595,2654,2712,2769,2825,2880,2934,2987,3039,3090,3140,3189,3237,3284,3330,3375,3419,3462,3504,3545,3585,3624,3662,3699,3735,3770,3804,3837,3869,3900,3930,3959,3987,4014,4040,4065,4089,4112,4134,4155,4175,4194,4212,4229,4245,4260,4274,4287,4299,4310,4320,4329,4337,4344,4350,NA,NA,NA,NA,NA
86,178,269,359,448,536,623,709,794,878,961,1043,1124,1204,1283,1361,1438,1514,1589,1663,1736,1808,1879,1949,2018,2086,2153,2219,2284,2348,2411,2473,2534,2594,2653,2711,2768,2824,2879,2933,2986,3038,3089,3139,3188,3236,3283,3329,3374,3418,3461,3503,3544,3584,3623,3661,3698,3734,3769,3803,3836,3868,3899,3929,3958,3986,4013,4039,4064,4088,4111,4133,4154,4174,4193,4211,4228,4244,4259,4273,4286,4298,4309,4319,4328,4336,4343,NA,NA,NA,NA,NA,NA
85,177,268,358,447,535,622,708,793,877,960,1042,1123,1203,1282,1360,1437,1513,1588,1662,1735,1807,1878,1948,2017,2085,2152,2218,2283,2347,2410,2472,2533,2593,2652,2710,2767,2823,2878,2932,2985,3037,3088,3138,3187,3235,3282,3328,3373,3417,3460,3502,3543,3583,3622,3660,3697,3733,3768,3802,3835,3867,3898,3928,3957,3985,4012,4038,4063,4087,4110,4132,4153,4173,4192,4210,4227,4243,4258,4272,4285,4297,4308,4318,4327,4335,NA,NA,NA,NA,NA,NA,NA
84,176,267,357,446,534,621,707,792,876,959,1041,1122,1202,1281,1359,1436,1512,1587,1661,1734,1806,1877,1947,2016,2084,2151,2217,2282,2346,2409,2471,2532,2592,2651,2709,2766,2822,2877,2931,2984,3036,3087,3137,3186,3234,3281,3327,3372,3416,3459,3501,3542,3582,3621,3659,3696,3732,3767,3801,3834,3866,3897,3927,3956,3984,4011,4037,4062,4086,4109,4131,4152,4172,4191,4209,4226,4242,4257,4271,4284,4296,4307,4317,4326,NA,NA,NA,NA,NA,NA,NA,NA
83,175,266,356,445,533,620,706,791,875,958,1040,1121,1201,1280,1358,1435,1511,1586,1660,1733,1805,1876,1946,2015,2083,2150,2216,2281,2345,2408,2470,2531,2591,2650,2708,2765,2821,2876,2930,2983,3035,3086,3136,3185,3233,3280,3326,3371,3415,3458,3500,3541,3581,3620,3658,3695,3731,3766,3800,3833,3865,3896,3926,3955,3983,4010,4036,4061,4085,4108,4130,4151,4171,4190,4208,4225,4241,4256,4270,4283,4295,4306,4316,NA,NA,NA,NA,NA,NA,NA,NA,NA
