"first","second"
"224.9865 , 136.986 , 161.976","196.9875 , 87.975 , 122.9865"
"224.9865 , 136.986 , 161.976","176.9955 , 96.9765 , 121.074"
"224.9865 , 136.986 , 161.976","156.978 , 28.9935 , 83.997"
"224.9865 , 136.986 , 161.976","124.9755 , 61.9905 , 78.999"
"224.9865 , 136.986 , 161.976","125.9955 , 11.985 , 69.9975"
"224.9865 , 136.986 , 161.976","82.977 , 37.995 , 60.996"
"224.9865 , 136.986 , 161.976","178.9845 , 138.975 , 183.9825"
"224.9865 , 136.986 , 161.976","143.9985 , 90.984 , 168.9885"
"224.9865 , 136.986 , 161.976","139.995 , 95.982 , 146.982"
"224.9865 , 136.986 , 161.976","100.98 , 43.9875 , 124.9755"
"224.9865 , 136.986 , 161.976","93.993 , 66.9885 , 99.9855"
"224.9865 , 136.986 , 161.976","67.983 , 15.9885 , 89.9895"
"224.9865 , 136.986 , 161.976","51.9945 , 31.977 , 59.976"
"224.9865 , 136.986 , 161.976","151.98 , 150.9855 , 192.984"
"224.9865 , 136.986 , 161.976","113.985 , 113.985 , 201.9855"
"224.9865 , 136.986 , 161.976","113.985 , 107.9925 , 146.982"
"224.9865 , 136.986 , 161.976","57.987 , 49.98 , 158.9925"
"224.9865 , 136.986 , 161.976","78.999 , 72.981 , 108.987"
"224.9865 , 136.986 , 161.976","38.9895 , 29.988 , 110.976"
"224.9865 , 136.986 , 161.976","23.9955 , 22.9755 , 57.987"
"224.9865 , 136.986 , 161.976","134.997 , 162.996 , 201.9855"
"224.9865 , 136.986 , 161.976","66.9885 , 122.9865 , 196.9875"
"224.9865 , 136.986 , 161.976","95.982 , 122.9865 , 167.994"
"224.9865 , 136.986 , 161.976","12.9795 , 79.9935 , 162.996"
"224.9865 , 136.986 , 161.976","63.9795 , 89.9895 , 122.9865"
"224.9865 , 136.986 , 161.976","2.9835 , 44.982 , 136.986"
"224.9865 , 136.986 , 161.976","3.978 , 32.997 , 64.9995"
"224.9865 , 136.986 , 161.976","115.9995 , 183.9825 , 195.993"
"224.9865 , 136.986 , 161.976","51 , 148.9965 , 183.9825"
"224.9865 , 136.986 , 161.976","88.995 , 145.9875 , 162.996"
"224.9865 , 136.986 , 161.976","2.9835 , 82.977 , 154.989"
"224.9865 , 136.986 , 161.976","47.991 , 40.9785 , 116.994"
"224.9865 , 136.986 , 161.976","3.978 , 64.9995 , 111.996"
"224.9865 , 136.986 , 161.976","9.996 , 56.9925 , 76.9845"
"224.9865 , 136.986 , 161.976","141.984 , 207.978 , 193.9785"
"224.9865 , 136.986 , 161.976","65.994 , 167.994 , 154.989"
"224.9865 , 136.986 , 161.976","104.9835 , 168.9885 , 153"
"224.9865 , 136.986 , 161.976","8.976 , 110.976 , 121.992"
"224.9865 , 136.986 , 161.976","54.978 , 116.994 , 103.989"
"224.9865 , 136.986 , 161.976","3.978 , 78.999 , 73.9755"
"224.9865 , 136.986 , 161.976","10.9905 , 59.976 , 56.9925"
"224.9865 , 136.986 , 161.976","163.9905 , 226.9755 , 172.992"
"224.9865 , 136.986 , 161.976","95.982 , 193.9785 , 110.976"
"224.9865 , 136.986 , 161.976","131.988 , 179.979 , 127.9845"
"224.9865 , 136.986 , 161.976","64.9995 , 161.976 , 68.9775"
"224.9865 , 136.986 , 161.976","72.981 , 127.9845 , 85.986"
"224.9865 , 136.986 , 161.976","32.997 , 116.994 , 39.984"
"224.9865 , 136.986 , 161.976","22.9755 , 61.9905 , 31.977"
"224.9865 , 136.986 , 161.976","216.9795 , 226.9755 , 106.998"
"224.9865 , 136.986 , 161.976","197.982 , 221.9775 , 36.975"
"224.9865 , 136.986 , 161.976","174.981 , 190.995 , 90.984"
"224.9865 , 136.986 , 161.976","170.9775 , 201.9855 , 1.989"
"224.9865 , 136.986 , 161.976","132.9825 , 147.9765 , 42.993"
"224.9865 , 136.986 , 161.976","117.9885 , 142.9785 , 0.9945"
"224.9865 , 136.986 , 161.976","68.9775 , 85.986 , 7.9815"
"224.9865 , 136.986 , 161.976","251.991 , 236.997 , 119.9775"
"224.9865 , 136.986 , 161.976","252.9855 , 221.9775 , 42.993"
"224.9865 , 136.986 , 161.976","211.9815 , 190.995 , 81.9825"
"224.9865 , 136.986 , 161.976","244.9785 , 208.998 , 0.9945"
"224.9865 , 136.986 , 161.976","175.9755 , 151.98 , 45.9765"
"224.9865 , 136.986 , 161.976","170.9775 , 143.9985 , 2.9835"
"224.9865 , 136.986 , 161.976","104.9835 , 90.984 , 20.9865"
"224.9865 , 136.986 , 161.976","250.9965 , 200.991 , 141.984"
"224.9865 , 136.986 , 161.976","251.991 , 166.9995 , 40.9785"
"224.9865 , 136.986 , 161.976","228.99 , 154.989 , 91.9785"
"224.9865 , 136.986 , 161.976","255 , 143.9985 , 0"
"224.9865 , 136.986 , 161.976","174.981 , 120.9975 , 60.996"
"224.9865 , 136.986 , 161.976","172.992 , 100.98 , 1.989"
"224.9865 , 136.986 , 161.976","118.983 , 69.9975 , 11.985"
"224.9865 , 136.986 , 161.976","250.9965 , 175.9755 , 153"
"224.9865 , 136.986 , 161.976","251.991 , 112.9905 , 46.9965"
"224.9865 , 136.986 , 161.976","230.979 , 126.99 , 114.9795"
"224.9865 , 136.986 , 161.976","232.9935 , 52.989 , 6.987"
"224.9865 , 136.986 , 161.976","162.996 , 87.975 , 57.987"
"224.9865 , 136.986 , 161.976","165.9795 , 26.979 , 1.989"
"224.9865 , 136.986 , 161.976","120.9975 , 41.9985 , 24.99"
"224.9865 , 136.986 , 161.976","246.993 , 153.9945 , 161.976"
"224.9865 , 136.986 , 161.976","226.9755 , 97.9965 , 100.98"
"224.9865 , 136.986 , 161.976","210.987 , 121.992 , 125.9955"
"224.9865 , 136.986 , 161.976","218.994 , 11.985 , 39.984"
"224.9865 , 136.986 , 161.976","150.9855 , 72.981 , 75.99"
"224.9865 , 136.986 , 161.976","155.9835 , 8.976 , 26.979"
"224.9865 , 136.986 , 161.976","89.9895 , 29.988 , 31.977"
"224.9865 , 136.986 , 161.976","1.989 , 3.978 , 0.9945"
"224.9865 , 136.986 , 161.976","41.9985 , 48.9855 , 40.9785"
"224.9865 , 136.986 , 161.976","89.9895 , 95.982 , 81.9825"
"224.9865 , 136.986 , 161.976","93.993 , 99.9855 , 85.986"
"224.9865 , 136.986 , 161.976","126.99 , 130.9935 , 116.994"
"224.9865 , 136.986 , 161.976","157.998 , 161.976 , 147.9765"
"224.9865 , 136.986 , 161.976","180.999 , 186.9915 , 172.992"
"224.9865 , 136.986 , 161.976","216.9795 , 218.994 , 205.989"
"224.9865 , 136.986 , 161.976","246.993 , 247.9875 , 241.995"
"196.9875 , 87.975 , 122.9865","196.9875 , 87.975 , 122.9865"
"196.9875 , 87.975 , 122.9865","176.9955 , 96.9765 , 121.074"
"196.9875 , 87.975 , 122.9865","156.978 , 28.9935 , 83.997"
"196.9875 , 87.975 , 122.9865","124.9755 , 61.9905 , 78.999"
"196.9875 , 87.975 , 122.9865","125.9955 , 11.985 , 69.9975"
"196.9875 , 87.975 , 122.9865","82.977 , 37.995 , 60.996"
"196.9875 , 87.975 , 122.9865","178.9845 , 138.975 , 183.9825"
"196.9875 , 87.975 , 122.9865","143.9985 , 90.984 , 168.9885"
"196.9875 , 87.975 , 122.9865","139.995 , 95.982 , 146.982"
"196.9875 , 87.975 , 122.9865","100.98 , 43.9875 , 124.9755"
"196.9875 , 87.975 , 122.9865","93.993 , 66.9885 , 99.9855"
"196.9875 , 87.975 , 122.9865","67.983 , 15.9885 , 89.9895"
"196.9875 , 87.975 , 122.9865","51.9945 , 31.977 , 59.976"
"196.9875 , 87.975 , 122.9865","151.98 , 150.9855 , 192.984"
"196.9875 , 87.975 , 122.9865","113.985 , 113.985 , 201.9855"
"196.9875 , 87.975 , 122.9865","113.985 , 107.9925 , 146.982"
"196.9875 , 87.975 , 122.9865","57.987 , 49.98 , 158.9925"
"196.9875 , 87.975 , 122.9865","78.999 , 72.981 , 108.987"
"196.9875 , 87.975 , 122.9865","38.9895 , 29.988 , 110.976"
"196.9875 , 87.975 , 122.9865","23.9955 , 22.9755 , 57.987"
"196.9875 , 87.975 , 122.9865","134.997 , 162.996 , 201.9855"
"196.9875 , 87.975 , 122.9865","66.9885 , 122.9865 , 196.9875"
"196.9875 , 87.975 , 122.9865","95.982 , 122.9865 , 167.994"
"196.9875 , 87.975 , 122.9865","12.9795 , 79.9935 , 162.996"
"196.9875 , 87.975 , 122.9865","63.9795 , 89.9895 , 122.9865"
"196.9875 , 87.975 , 122.9865","2.9835 , 44.982 , 136.986"
"196.9875 , 87.975 , 122.9865","3.978 , 32.997 , 64.9995"
"196.9875 , 87.975 , 122.9865","115.9995 , 183.9825 , 195.993"
"196.9875 , 87.975 , 122.9865","51 , 148.9965 , 183.9825"
"196.9875 , 87.975 , 122.9865","88.995 , 145.9875 , 162.996"
"196.9875 , 87.975 , 122.9865","2.9835 , 82.977 , 154.989"
"196.9875 , 87.975 , 122.9865","47.991 , 40.9785 , 116.994"
"196.9875 , 87.975 , 122.9865","3.978 , 64.9995 , 111.996"
"196.9875 , 87.975 , 122.9865","9.996 , 56.9925 , 76.9845"
"196.9875 , 87.975 , 122.9865","141.984 , 207.978 , 193.9785"
"196.9875 , 87.975 , 122.9865","65.994 , 167.994 , 154.989"
"196.9875 , 87.975 , 122.9865","104.9835 , 168.9885 , 153"
"196.9875 , 87.975 , 122.9865","8.976 , 110.976 , 121.992"
"196.9875 , 87.975 , 122.9865","54.978 , 116.994 , 103.989"
"196.9875 , 87.975 , 122.9865","3.978 , 78.999 , 73.9755"
"196.9875 , 87.975 , 122.9865","10.9905 , 59.976 , 56.9925"
"196.9875 , 87.975 , 122.9865","163.9905 , 226.9755 , 172.992"
"196.9875 , 87.975 , 122.9865","95.982 , 193.9785 , 110.976"
"196.9875 , 87.975 , 122.9865","131.988 , 179.979 , 127.9845"
"196.9875 , 87.975 , 122.9865","64.9995 , 161.976 , 68.9775"
"196.9875 , 87.975 , 122.9865","72.981 , 127.9845 , 85.986"
"196.9875 , 87.975 , 122.9865","32.997 , 116.994 , 39.984"
"196.9875 , 87.975 , 122.9865","22.9755 , 61.9905 , 31.977"
"196.9875 , 87.975 , 122.9865","216.9795 , 226.9755 , 106.998"
"196.9875 , 87.975 , 122.9865","197.982 , 221.9775 , 36.975"
"196.9875 , 87.975 , 122.9865","174.981 , 190.995 , 90.984"
"196.9875 , 87.975 , 122.9865","170.9775 , 201.9855 , 1.989"
"196.9875 , 87.975 , 122.9865","132.9825 , 147.9765 , 42.993"
"196.9875 , 87.975 , 122.9865","117.9885 , 142.9785 , 0.9945"
"196.9875 , 87.975 , 122.9865","68.9775 , 85.986 , 7.9815"
"196.9875 , 87.975 , 122.9865","251.991 , 236.997 , 119.9775"
"196.9875 , 87.975 , 122.9865","252.9855 , 221.9775 , 42.993"
"196.9875 , 87.975 , 122.9865","211.9815 , 190.995 , 81.9825"
"196.9875 , 87.975 , 122.9865","244.9785 , 208.998 , 0.9945"
"196.9875 , 87.975 , 122.9865","175.9755 , 151.98 , 45.9765"
"196.9875 , 87.975 , 122.9865","170.9775 , 143.9985 , 2.9835"
"196.9875 , 87.975 , 122.9865","104.9835 , 90.984 , 20.9865"
"196.9875 , 87.975 , 122.9865","250.9965 , 200.991 , 141.984"
"196.9875 , 87.975 , 122.9865","251.991 , 166.9995 , 40.9785"
"196.9875 , 87.975 , 122.9865","228.99 , 154.989 , 91.9785"
"196.9875 , 87.975 , 122.9865","255 , 143.9985 , 0"
"196.9875 , 87.975 , 122.9865","174.981 , 120.9975 , 60.996"
"196.9875 , 87.975 , 122.9865","172.992 , 100.98 , 1.989"
"196.9875 , 87.975 , 122.9865","118.983 , 69.9975 , 11.985"
"196.9875 , 87.975 , 122.9865","250.9965 , 175.9755 , 153"
"196.9875 , 87.975 , 122.9865","251.991 , 112.9905 , 46.9965"
"196.9875 , 87.975 , 122.9865","230.979 , 126.99 , 114.9795"
"196.9875 , 87.975 , 122.9865","232.9935 , 52.989 , 6.987"
"196.9875 , 87.975 , 122.9865","162.996 , 87.975 , 57.987"
"196.9875 , 87.975 , 122.9865","165.9795 , 26.979 , 1.989"
"196.9875 , 87.975 , 122.9865","120.9975 , 41.9985 , 24.99"
"196.9875 , 87.975 , 122.9865","246.993 , 153.9945 , 161.976"
"196.9875 , 87.975 , 122.9865","226.9755 , 97.9965 , 100.98"
"196.9875 , 87.975 , 122.9865","210.987 , 121.992 , 125.9955"
"196.9875 , 87.975 , 122.9865","218.994 , 11.985 , 39.984"
"196.9875 , 87.975 , 122.9865","150.9855 , 72.981 , 75.99"
"196.9875 , 87.975 , 122.9865","155.9835 , 8.976 , 26.979"
"196.9875 , 87.975 , 122.9865","89.9895 , 29.988 , 31.977"
"196.9875 , 87.975 , 122.9865","1.989 , 3.978 , 0.9945"
"196.9875 , 87.975 , 122.9865","41.9985 , 48.9855 , 40.9785"
"196.9875 , 87.975 , 122.9865","89.9895 , 95.982 , 81.9825"
"196.9875 , 87.975 , 122.9865","93.993 , 99.9855 , 85.986"
"196.9875 , 87.975 , 122.9865","126.99 , 130.9935 , 116.994"
"196.9875 , 87.975 , 122.9865","157.998 , 161.976 , 147.9765"
"196.9875 , 87.975 , 122.9865","180.999 , 186.9915 , 172.992"
"196.9875 , 87.975 , 122.9865","216.9795 , 218.994 , 205.989"
"196.9875 , 87.975 , 122.9865","246.993 , 247.9875 , 241.995"
"176.9955 , 96.9765 , 121.074","176.9955 , 96.9765 , 121.074"
"176.9955 , 96.9765 , 121.074","156.978 , 28.9935 , 83.997"
"176.9955 , 96.9765 , 121.074","124.9755 , 61.9905 , 78.999"
"176.9955 , 96.9765 , 121.074","125.9955 , 11.985 , 69.9975"
"176.9955 , 96.9765 , 121.074","82.977 , 37.995 , 60.996"
"176.9955 , 96.9765 , 121.074","178.9845 , 138.975 , 183.9825"
"176.9955 , 96.9765 , 121.074","143.9985 , 90.984 , 168.9885"
"176.9955 , 96.9765 , 121.074","139.995 , 95.982 , 146.982"
"176.9955 , 96.9765 , 121.074","100.98 , 43.9875 , 124.9755"
"176.9955 , 96.9765 , 121.074","93.993 , 66.9885 , 99.9855"
"176.9955 , 96.9765 , 121.074","67.983 , 15.9885 , 89.9895"
"176.9955 , 96.9765 , 121.074","51.9945 , 31.977 , 59.976"
"176.9955 , 96.9765 , 121.074","151.98 , 150.9855 , 192.984"
"176.9955 , 96.9765 , 121.074","113.985 , 113.985 , 201.9855"
"176.9955 , 96.9765 , 121.074","113.985 , 107.9925 , 146.982"
"176.9955 , 96.9765 , 121.074","57.987 , 49.98 , 158.9925"
"176.9955 , 96.9765 , 121.074","78.999 , 72.981 , 108.987"
"176.9955 , 96.9765 , 121.074","38.9895 , 29.988 , 110.976"
"176.9955 , 96.9765 , 121.074","23.9955 , 22.9755 , 57.987"
"176.9955 , 96.9765 , 121.074","134.997 , 162.996 , 201.9855"
"176.9955 , 96.9765 , 121.074","66.9885 , 122.9865 , 196.9875"
"176.9955 , 96.9765 , 121.074","95.982 , 122.9865 , 167.994"
"176.9955 , 96.9765 , 121.074","12.9795 , 79.9935 , 162.996"
"176.9955 , 96.9765 , 121.074","63.9795 , 89.9895 , 122.9865"
"176.9955 , 96.9765 , 121.074","2.9835 , 44.982 , 136.986"
"176.9955 , 96.9765 , 121.074","3.978 , 32.997 , 64.9995"
"176.9955 , 96.9765 , 121.074","115.9995 , 183.9825 , 195.993"
"176.9955 , 96.9765 , 121.074","51 , 148.9965 , 183.9825"
"176.9955 , 96.9765 , 121.074","88.995 , 145.9875 , 162.996"
"176.9955 , 96.9765 , 121.074","2.9835 , 82.977 , 154.989"
"176.9955 , 96.9765 , 121.074","47.991 , 40.9785 , 116.994"
"176.9955 , 96.9765 , 121.074","3.978 , 64.9995 , 111.996"
"176.9955 , 96.9765 , 121.074","9.996 , 56.9925 , 76.9845"
"176.9955 , 96.9765 , 121.074","141.984 , 207.978 , 193.9785"
"176.9955 , 96.9765 , 121.074","65.994 , 167.994 , 154.989"
"176.9955 , 96.9765 , 121.074","104.9835 , 168.9885 , 153"
"176.9955 , 96.9765 , 121.074","8.976 , 110.976 , 121.992"
"176.9955 , 96.9765 , 121.074","54.978 , 116.994 , 103.989"
"176.9955 , 96.9765 , 121.074","3.978 , 78.999 , 73.9755"
"176.9955 , 96.9765 , 121.074","10.9905 , 59.976 , 56.9925"
"176.9955 , 96.9765 , 121.074","163.9905 , 226.9755 , 172.992"
"176.9955 , 96.9765 , 121.074","95.982 , 193.9785 , 110.976"
"176.9955 , 96.9765 , 121.074","131.988 , 179.979 , 127.9845"
"176.9955 , 96.9765 , 121.074","64.9995 , 161.976 , 68.9775"
"176.9955 , 96.9765 , 121.074","72.981 , 127.9845 , 85.986"
