"224.9865 , 136.986 , 161.976","196.9875 , 87.975 , 122.9865","176.9955 , 96.9765 , 121.074","156.978 , 28.9935 , 83.997","124.9755 , 61.9905 , 78.999","125.9955 , 11.985 , 69.9975","82.977 , 37.995 , 60.996","178.9845 , 138.975 , 183.9825","143.9985 , 90.984 , 168.9885","139.995 , 95.982 , 146.982","100.98 , 43.9875 , 124.9755","93.993 , 66.9885 , 99.9855","67.983 , 15.9885 , 89.9895","51.9945 , 31.977 , 59.976","151.98 , 150.9855 , 192.984","113.985 , 113.985 , 201.9855","113.985 , 107.9925 , 146.982","57.987 , 49.98 , 158.9925","78.999 , 72.981 , 108.987","38.9895 , 29.988 , 110.976","23.9955 , 22.9755 , 57.987","134.997 , 162.996 , 201.9855","66.9885 , 122.9865 , 196.9875","95.982 , 122.9865 , 167.994","12.9795 , 79.9935 , 162.996","63.9795 , 89.9895 , 122.9865","2.9835 , 44.982 , 136.986","3.978 , 32.997 , 64.9995","115.9995 , 183.9825 , 195.993","51 , 148.9965 , 183.9825","88.995 , 145.9875 , 162.996","2.9835 , 82.977 , 154.989","47.991 , 40.9785 , 116.994","3.978 , 64.9995 , 111.996","9.996 , 56.9925 , 76.9845","141.984 , 207.978 , 193.9785","65.994 , 167.994 , 154.989","104.9835 , 168.9885 , 153","8.976 , 110.976 , 121.992","54.978 , 116.994 , 103.989","3.978 , 78.999 , 73.9755","10.9905 , 59.976 , 56.9925","163.9905 , 226.9755 , 172.992","95.982 , 193.9785 , 110.976","131.988 , 179.979 , 127.9845","64.9995 , 161.976 , 68.9775","72.981 , 127.9845 , 85.986","32.997 , 116.994 , 39.984","22.9755 , 61.9905 , 31.977","216.9795 , 226.9755 , 106.998","197.982 , 221.9775 , 36.975","174.981 , 190.995 , 90.984","170.9775 , 201.9855 , 1.989","132.9825 , 147.9765 , 42.993","117.9885 , 142.9785 , 0.9945","68.9775 , 85.986 , 7.9815","251.991 , 236.997 , 119.9775","252.9855 , 221.9775 , 42.993","211.9815 , 190.995 , 81.9825","244.9785 , 208.998 , 0.9945","175.9755 , 151.98 , 45.9765","170.9775 , 143.9985 , 2.9835","104.9835 , 90.984 , 20.9865","250.9965 , 200.991 , 141.984","251.991 , 166.9995 , 40.9785","228.99 , 154.989 , 91.9785","255 , 143.9985 , 0","174.981 , 120.9975 , 60.996","172.992 , 100.98 , 1.989","118.983 , 69.9975 , 11.985","250.9965 , 175.9755 , 153","251.991 , 112.9905 , 46.9965","230.979 , 126.99 , 114.9795","232.9935 , 52.989 , 6.987","162.996 , 87.975 , 57.987","165.9795 , 26.979 , 1.989","120.9975 , 41.9985 , 24.99","246.993 , 153.9945 , 161.976","226.9755 , 97.9965 , 100.98","210.987 , 121.992 , 125.9955","218.994 , 11.985 , 39.984","150.9855 , 72.981 , 75.99","155.9835 , 8.976 , 26.979","89.9895 , 29.988 , 31.977","1.989 , 3.978 , 0.9945","41.9985 , 48.9855 , 40.9785","89.9895 , 95.982 , 81.9825","93.993 , 99.9855 , 85.986","126.99 , 130.9935 , 116.994","157.998 , 161.976 , 147.9765","180.999 , 186.9915 , 172.992","216.9795 , 218.994 , 205.989","246.993 , 247.9875 , 241.995"
34,33,39,40,44,36,33,37,31,41,35,35,35,37,32,30,32,31,37,37,38,35,30,34,38,35,35,44,34,41,38,35,40,34,37,33,41,34,33,37,39,37,37,42,31,30,40,41,33,37,33,31,34,30,39,35,32,32,29,37,35,41,29,34,34,45,37,35,35,35,32,32,36,32,38,31,35,36,39,33,33,36,45,36,34,36,31,40,33,39,43,40,31
34,38,26,36,40,31,30,31,34,36,37,31,33,36,34,41,32,38,42,38,33,30,41,47,35,39,40,42,44,40,34,42,39,32,34,33,36,33,37,41,40,39,38,39,39,30,37,33,37,33,42,33,39,34,37,42,45,42,39,38,37,36,36,41,32,32,40,34,41,36,41,33,41,38,40,31,35,34,39,36,32,30,35,33,36,35,38,37,32,35,33,29,NA
35,36,38,44,33,36,35,33,31,39,32,34,29,32,29,41,35,35,32,37,35,32,36,38,31,35,35,40,37,46,29,34,30,41,29,40,41,33,34,39,40,25,35,41,41,35,37,31,35,34,38,42,29,37,44,31,36,44,37,35,42,30,35,39,36,40,44,42,35,33,39,39,36,38,31,40,32,31,39,32,39,41,37,37,38,31,34,32,42,46,33,NA,NA
34,39,34,42,33,42,43,41,33,45,41,34,36,34,41,32,33,35,38,38,33,42,33,37,36,34,36,35,34,44,32,27,32,31,38,35,36,33,39,36,33,37,37,37,32,25,39,38,37,33,35,31,35,34,38,34,33,40,33,40,45,35,35,39,35,36,35,31,29,31,36,36,34,38,42,42,32,36,38,42,46,43,35,39,32,40,41,43,36,33,NA,NA,NA
31,35,35,35,31,42,38,38,41,42,42,31,32,36,43,28,31,34,38,39,37,40,39,33,48,42,31,36,43,31,36,45,36,35,37,43,30,40,33,32,33,32,41,39,36,36,32,35,35,33,39,33,32,33,32,41,33,34,42,34,36,33,40,27,34,37,36,34,31,37,34,33,35,40,34,33,39,32,41,41,31,39,36,33,30,36,38,35,46,NA,NA,NA,NA
37,31,32,35,37,30,29,31,37,35,36,29,30,33,34,38,37,35,37,38,32,32,35,39,36,33,40,38,33,32,41,40,36,45,38,34,33,35,32,30,46,37,34,39,32,36,37,40,36,36,31,39,33,35,29,31,37,32,35,29,31,26,38,31,42,39,33,33,37,42,28,34,34,36,37,35,39,32,33,40,36,35,43,37,42,37,39,36,NA,NA,NA,NA,NA
39,35,42,35,33,37,45,38,42,41,30,38,40,32,34,35,34,36,36,35,35,30,33,37,32,32,34,39,38,45,33,34,39,40,42,30,38,37,36,42,35,35,36,32,34,37,38,36,36,36,36,45,38,35,39,39,37,37,33,40,40,39,39,42,38,29,38,35,37,32,33,38,39,36,32,37,36,34,38,37,40,45,35,36,32,36,38,NA,NA,NA,NA,NA,NA
27,34,31,31,36,29,35,33,35,34,32,33,38,37,36,37,33,33,35,40,40,30,34,42,35,32,40,36,32,35,27,37,38,39,36,36,32,48,31,29,34,37,43,38,38,41,32,35,35,33,33,43,32,32,33,36,33,39,35,35,28,34,29,37,36,35,37,35,33,31,40,26,34,43,35,34,30,35,33,31,33,46,33,43,34,39,NA,NA,NA,NA,NA,NA,NA
45,42,37,37,36,34,36,32,32,30,45,37,41,37,36,34,32,44,40,34,31,35,36,31,30,42,32,34,41,37,37,37,37,31,39,33,42,37,37,40,36,36,42,46,42,36,35,40,39,34,42,36,39,32,33,34,29,38,39,34,37,37,41,38,40,37,41,38,32,41,38,33,42,39,39,35,40,32,45,43,40,34,37,44,36,NA,NA,NA,NA,NA,NA,NA,NA
30,37,41,36,37,34,37,38,35,35,39,34,34,29,28,36,35,40,38,37,42,34,35,37,36,34,38,41,32,29,43,39,36,46,36,31,32,34,35,40,42,40,35,38,37,31,36,40,33,31,37,41,35,40,31,43,36,32,32,32,42,35,39,37,37,36,42,36,44,41,39,38,40,36,30,35,32,37,38,31,41,40,32,37,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,35,28,40,29,39,43,32,38,33,36,34,32,54,36,40,40,44,39,37,50,39,39,40,38,35,36,41,35,36,31,31,35,34,40,37,37,34,35,37,34,35,37,35,36,36,44,41,31,35,34,30,33,39,38,33,35,37,33,37,40,35,34,35,40,37,31,40,40,37,35,42,36,38,34,31,28,43,34,37,32,45,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,36,37,36,34,30,36,36,31,45,35,43,33,39,33,33,38,40,43,46,39,33,37,34,34,36,35,41,36,38,33,34,37,35,35,34,45,42,36,33,41,34,30,41,32,39,36,32,32,31,49,27,38,32,38,37,44,30,42,36,36,33,33,44,37,35,36,40,29,33,41,37,38,35,39,32,40,41,37,31,36,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,34,32,39,30,38,36,34,35,35,36,42,31,36,38,36,36,34,33,34,35,37,34,41,38,34,40,38,34,33,34,38,33,36,31,36,40,37,39,27,36,31,42,31,40,33,36,35,32,39,40,39,35,29,39,38,37,39,38,34,36,31,37,37,30,32,38,39,41,35,37,39,33,43,38,36,38,30,32,36,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,37,29,31,28,42,39,40,39,36,41,39,40,41,40,29,45,42,33,37,31,32,44,31,36,49,30,35,35,35,33,35,36,38,33,37,31,38,35,36,39,32,35,37,34,39,41,34,42,38,37,42,28,36,40,32,32,36,31,39,35,46,43,34,37,34,39,35,35,31,41,36,42,39,35,38,35,42,35,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,33,42,30,31,40,37,40,40,35,35,33,36,39,36,34,39,33,39,41,29,35,34,35,31,34,47,35,36,39,45,42,31,39,38,40,28,41,29,29,45,31,31,35,34,34,31,38,31,36,42,41,29,35,37,34,41,25,30,40,30,34,43,33,36,35,41,34,36,39,34,35,38,34,34,30,43,35,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,32,29,36,35,35,40,34,38,34,40,32,38,28,42,44,36,33,36,32,35,39,34,33,35,38,38,33,35,38,37,36,41,41,40,36,31,41,42,39,40,35,38,31,38,36,30,37,35,41,39,38,33,33,30,36,33,39,34,34,40,37,49,33,33,31,33,32,34,32,34,43,34,29,31,34,40,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,36,27,35,36,40,38,43,36,39,38,34,32,36,36,32,36,33,29,39,36,36,34,32,40,31,41,36,38,31,31,38,30,35,37,32,36,33,31,36,38,44,36,32,44,34,35,36,29,34,38,39,31,45,34,42,37,38,39,31,40,34,36,37,38,36,35,44,30,31,37,37,31,28,32,35,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,38,30,34,37,34,40,40,35,34,40,41,36,41,35,35,35,42,39,43,37,32,41,32,38,40,36,39,33,35,41,35,33,32,36,40,35,40,31,31,41,35,33,36,33,30,41,35,32,36,35,40,38,34,33,38,36,38,42,29,41,37,32,40,31,38,39,34,34,43,34,45,29,36,36,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,31,36,34,38,37,35,33,35,39,39,38,41,32,42,35,44,38,43,39,40,33,44,38,28,42,36,44,33,33,40,26,37,36,39,38,37,34,41,30,35,36,35,38,39,42,34,37,36,29,36,35,39,35,29,36,41,37,42,35,42,31,36,34,33,33,32,33,43,34,33,29,36,29,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,33,36,35,34,30,47,36,35,34,39,34,33,32,36,35,42,35,31,32,33,36,38,33,35,40,45,34,34,40,34,40,39,30,38,38,35,39,28,38,33,33,35,40,36,36,36,34,34,40,39,39,30,37,36,44,37,31,35,37,39,30,43,34,33,34,40,31,40,44,39,33,34,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,38,34,40,33,36,32,31,35,35,31,41,32,36,31,44,29,43,34,34,37,42,33,32,33,36,37,34,35,39,42,32,34,35,41,38,38,33,30,29,34,44,37,36,41,40,37,37,33,34,29,40,36,39,40,34,28,28,32,35,33,43,37,40,36,38,36,32,37,32,32,44,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
